NSE Symbol,Yahoo Code,Security Name
3IINFOTECH,3IINFOTEC.NS,3i Infotech Limited
ADVANIHOTR,ADVANIHOT.NS,Advani Hotels & Resorts (India) Limited
AICHAMP,AICHAMP.NS,AI Champdany Industries Limited
ALLSEC,ALLSEC.NS,Allsec Technologies Limited
ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited
ALPINEHOU,ALPINEHOU.NS,Alpine Housing Development Corporation Limited
AMARJOTHI,AMARJOTHI.NS,Amarjothi Spinning Mills Limited
AMLSTEEL,AMLSTEEL.NS,AML Steel Limited
ANKURDRUGS,ANKURDRUG.NS,Ankur Drugs And Pharma Limited
ANTGRAPHIC,ANTGRAPHI.NS,Antarctica Limited
ARIHANT,ARIHANT.NS,Arihant Foundations & Housing Limited
ARROWTEX,ARROWTEX.NS,Arrow Textiles Limited
ASHAPURMIN,ASHAPURMI.NS,Ashapura Minechem Limited
ASHCONIUL,ASHCONIUL.NS,Ashco Niulab Industries Limited
ASHIMASYN,ASHIMASYN.NS,Ashima Limited
ASIANELEC,ASIANELEC.NS,Asian Electronics Limited
ASIL,ASIL.NS,Amit Spinning Industries Limited
AUSOMENT,AUSOMENT.NS,Ausom Enterprise Limited
AUSTRAL,AUSTRAL.NS,Austral Coke & Projects Limited
BAGFILMS,BAGFILMS.NS,B.A.G Films and Media Limited
BANARBEADS,BANARBEAD.NS,Banaras Beads Limited
BANG,BANG.NS,Bang Overseas Limited
BEARDSELL,BEARDSELL.NS,Beardsell Limited
BEDMUTHA,BEDMUTHA.NS,Bedmutha Industries Limited
BILPOWER,BILPOWER.NS,Bilpower Limited
BIRLACOT,BIRLACOT.NS,Birla Cotsyn (India) Limited
BLBLIMITED,BLBLIMITE.NS,BLB Limited
BLUECOAST,BLUECOAST.NS,Blue Coast Hotels Limited
BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited
BODHTREE,BODHTREE.NS,Bodhtree Consulting Limited
BROOKS,BROOKS.NS,Brooks Laboratories Limited
CALSOFT,CALSOFT.NS,California Software Company Limited
CCCL,CCCL.NS,Consolidated Construction Consortium Limited
CELESTIAL,CELESTIAL.NS,Celestial Biolabs Limited
CHESLINTEX,CHESLINTE.NS,Cheslind Textiles Limited
CINEVISTA,CINEVISTA.NS,Cinevistaas Limited
CLUTCHAUTO,CLUTCHAUT.NS,Clutch Auto Limited
COROENGG,COROENGG.NS,Coromandel Engineering Company Limited
CURATECH,CURATECH.NS,Cura Technologies Limited
CYBERMEDIA,CYBERMEDI.NS,Cyber Media (India) Limited
DBREALTY,DBREALTY.NS,D B Realty Limited
DECOLIGHT,DECOLIGHT.NS,Decolight Ceramics Limited
DELTAMAGNT,DELTAMAGN.NS,Delta Magnets Limited
DHANUS,DHANUS.NS,Dhanus Technologies Limited
DHUNINV,DHUNINV.NS,Dhunseri Investments Limited
DSSL,DSSL.NS,Dynacons Systems & Solutions Limited
DWARKESH,DWARKESH.NS,Dwarikesh Sugar Industries Limited
EDSERV,EDSERV.NS,Edserv Softsystems Limited
ELECTHERM,ELECTHERM.NS,Electrotherm (India) Limited
ELNET,ELNET.NS,Elnet Technologies Limited
EMAMIINFRA,EMAMIINFR.NS,Emami Infrastructure Limited
EMKAY,EMKAY.NS,Emkay Global Financial Services Limited
EMPEESUG,EMPEESUG.NS,Empee Sugars and Chemicals Limited
ENTEGRA,ENTEGRA.NS,Entegra Limited
EUROCERA,EUROCERA.NS,Euro Ceramics Limited
FCSSOFT,FCSSOFT.NS,FCS Software Solutions Limited
GANGOTRI,GANGOTRI.NS,Gangotri Textiles Limited
GISOLUTION,GISOLUTIO.NS,GI Engineering Solutions Limited
GKWLIMITED,GKWLIMITE.NS,GKW Limited
GLFL,GLFL.NS,Gujarat Lease Financing Limited
GUFICBIO,GUFICBIO.NS,Gufic Biosciences Limited
GUJSTATFIN,GUJSTATFI.NS,Gujarat State Financial Corporation
